"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Bennie Fowler","NYG","1.6","21.3","0.1","0.0","0.0","0.0","0.0","2.6"
"Allen Hurns","MIA","1.4","20.2","0.1","0.0","0.0","0.0","0.0","2.6"
"J.J. Arcega-Whiteside","PHI","1.6","18.4","0.1","0.0","0.0","0.0","0.0","2.6"
"A.J. Brown","TEN","1.8","22.1","0.1","0.0","0.0","0.0","0.0","2.6"
"Chris Hogan","CAR","1.3","19.7","0.1","0.0","0.2","0.0","0.0","2.6"
"Chad Beebe","MIN","1.8","20.8","0.1","0.0","0.0","0.0","0.0","2.6"
"Seth Roberts","BAL","1.7","21.4","0.1","0.0","0.1","0.0","0.0","2.5"
"KeeSean Johnson","ARI","1.9","22.2","0.0","0.0","0.0","0.0","0.0","2.5"
"Jake Kumerow","GB","1.6","18.2","0.1","0.0","0.0","0.0","0.0","2.5"
"Jarius Wright","CAR","1.8","17.1","0.1","0.1","0.6","0.0","0.0","2.3"
"Mecole Hardman","KC","1.4","18.3","0.1","0.0","0.0","0.0","0.0","2.3"
"Keith Kirkwood","NO","1.1","14.8","0.1","0.0","0.0","0.0","0.0","2.3"
"Preston Williams","MIA","1.4","18.3","0.1","0.0","0.0","0.0","0.0","2.3"
"Jalen Hurd","SF","1.6","16.0","0.1","0.0","0.0","0.0","0.0","2.2"
"Tajae Sharpe","TEN","1.5","16.3","0.1","0.1","0.5","0.0","0.0","2.2"
"Parris Campbell","IND","1.5","15.4","0.1","0.1","0.6","0.0","0.0","2.1"
"Demaryius Thomas","NE","1.2","14.3","0.1","0.0","0.0","0.0","0.0","2.1"
"Demarcus Robinson","KC","1.2","15.8","0.1","0.0","0.0","0.0","0.0","2.1"
"Taywan Taylor","CLE","1.3","16.9","0.1","0.0","0.0","0.0","0.0","2.1"
"Alex Erickson","CIN","1.5","18.2","0.0","0.1","0.7","0.0","0.0","2.1"
"Ryan Switzer","PIT","1.6","14.3","0.1","0.3","1.8","0.0","0.0","2.0"
"Josh Reynolds","LAR","1.0","12.9","0.1","0.0","0.1","0.0","0.0","2.0"
"Cordarrelle Patterson","CHI","0.9","10.1","0.1","0.9","5.5","0.0","0.0","2.0"
"Olabisi Johnson","MIN","1.2","13.0","0.1","0.0","0.0","0.0","0.0","1.9"
"Dontrelle Inman","LAC","1.2","11.5","0.1","0.0","0.0","0.0","0.0","1.8"
"Gary Jennings","SEA","1.2","13.4","0.1","0.0","0.0","0.0","0.0","1.8"
"Keelan Cole","JAC","1.2","14.1","0.1","0.0","0.0","0.0","0.0","1.7"
"J.J. Nelson","OAK","1.1","14.7","0.0","0.2","1.5","0.0","0.0","1.7"
"Josh Doctson","MIN","1.0","13.2","0.1","0.0","0.0","0.0","0.0","1.7"
"Jakobi Meyers","NE","1.1","12.5","0.1","0.0","0.0","0.0","0.0","1.7"
"Tavon Austin","DAL","0.8","9.9","0.1","0.5","3.0","0.0","0.0","1.6"
"Justin Watson","TB","1.1","11.8","0.1","0.0","0.0","0.0","0.0","1.6"
"Russell Shepard","NYG","0.9","11.2","0.1","0.1","0.5","0.0","0.0","1.6"
"Kelvin Harmon","WAS","1.0","11.2","0.1","0.0","0.0","0.0","0.0","1.5"
"Deon Cain","IND","0.9","10.4","0.1","0.1","0.5","0.0","0.0","1.5"
"Kendrick Bourne","SF","0.9","9.8","0.1","0.0","0.0","0.0","0.0","1.4"
"Chris Lacy","DET","0.9","9.4","0.1","0.0","0.0","0.0","0.0","1.3"
