Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Keith Smith,ATL,0.1,0.6,0,0.4,2.7,0,0,0.8
Derek Watt,LAC,0.4,1.3,0,0.3,2.4,0,0,0.8
Kenjon Barner,ATL,0.5,1.9,0,0.2,1.8,0,0,0.7
CJ Ham,MIN,0.6,2.4,0,0.2,1.7,0,0,0.7
Qadree Ollison,ATL,0.6,3,0,0.2,2,0,0,0.7
Zach Line,NO,0.5,1.6,0,0.3,1.7,0,0,0.7
James Develin,NE,0.3,1.3,0,0.3,1.6,0,0,0.7
Nick Bawden,DET,0.3,1,0,0.3,2,0,0,0.6
Anthony Sherman,KC,0.2,1.3,0,0.2,1.9,0,0,0.6
Brandon Bolden,NE,0.3,1.6,0,0.2,1,0,0,0.6
Roosevelt Nix,PIT,0.2,0.5,0,0.3,1.7,0,0,0.6
De'Lance Turner,BAL,0.3,1.1,0,0.2,1.4,0,0,0.5
Dwayne Washington,NO,0.5,1.7,0,0.2,1.2,0,0,0.5
Shaun Wilson,WAS,0.3,1.2,0,0.2,1.2,0,0,0.5
Garrett Griffin,NO,0.3,1.2,0,0.2,1.2,0,0,0.5
Alec Ingold,OAK,0.5,2,0,0.2,1,0,0,0.5
Patrick Ricard,BAL,0.3,1.2,0,0.2,1.4,0,0,0.5
Matthew Dayes,NO,0.2,0.8,0,0.1,1,0,0,0.4
Jamize Olawale,DAL,0.2,0.8,0,0.1,1.3,0,0,0.4
Cullen Gillaspia,HOU,0.3,1,0,0.2,1,0,0,0.4
Nick Bellore,SEA,0.3,0.6,0,0.1,0.7,0,0,0.4
Senorise Perry,BUF,0.2,0.9,0,0.1,0.9,0,0,0.4
Dan Vitale,GB,0.1,0.1,0,0.2,1,0,0,0.3
Dalyn Dawkins,TEN,0.6,3,0,0,0,0,0,0.3
Buddy Howell,HOU,0.5,2,0,0,0,0,0,0.2
