Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Keith Smith (13268496),Keith Smith,13268496,RB/FLEX,3000,ATL@MIN 09/08/2019 01:00PM ET,ATL,0
WR,Chris Conley (13040862),Chris Conley,13040862,WR/FLEX,3100,KC@JAX 09/08/2019 01:00PM ET,JAX,6.65193569954896
DST,Buccaneers  (13040585),Buccaneers ,13040585,DST,2200,SF@TB 09/08/2019 04:25PM ET,TB,6.64893479576399
WR,Cody Latimer (13040965),Cody Latimer,13040965,WR/FLEX,3300,NYG@DAL 09/08/2019 04:25PM ET,NYG,6.63656515795674
DST,Rams  (13040575),Rams ,13040575,DST,3200,LAR@CAR 09/08/2019 01:00PM ET,LAR,6.615248
DST,Dolphins  (13040576),Dolphins ,13040576,DST,2100,BAL@MIA 09/08/2019 01:00PM ET,MIA,6.60877198184569
DST,Jets  (13040579),Jets ,13040579,DST,3100,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,6.56921921331316
DST,Bills  (13040567),Bills ,13040567,DST,3000,BUF@NYJ 09/08/2019 01:00PM ET,BUF,6.52925371428571
WR,DJ Chark Jr. (13041352),DJ Chark Jr.,13041352,WR/FLEX,3300,KC@JAX 09/08/2019 01:00PM ET,JAX,6.49982123285204
TE,T.J. Hockenson (13041799),T.J. Hockenson,13041799,TE/FLEX,3100,DET@ARI 09/08/2019 04:25PM ET,DET,6.49477018594929
RB,Tony Pollard (13041673),Tony Pollard,13041673,RB/FLEX,4500,NYG@DAL 09/08/2019 04:25PM ET,DAL,6.48553290302902
WR,Jaron Brown (13040703),Jaron Brown,13040703,WR/FLEX,3100,CIN@SEA 09/08/2019 04:05PM ET,SEA,6.33489462365591
WR,Marquise Brown (13041827),Marquise Brown,13041827,WR/FLEX,3800,BAL@MIA 09/08/2019 01:00PM ET,BAL,6.31793265164281
RB,Ronald Jones II (13041667),Ronald Jones II,13041667,RB/FLEX,3900,SF@TB 09/08/2019 04:25PM ET,TB,6.2978001285041
DST,Redskins  (13040586),Redskins ,13040586,DST,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,6.25804653555219
WR,Kenny Stills (13040783),Kenny Stills,13040783,WR/FLEX,4000,BAL@MIA 09/08/2019 01:00PM ET,MIA,6.15936927760085
DST,49ers  (13040583),49ers ,13040583,DST,2200,SF@TB 09/08/2019 04:25PM ET,SF,6.13165074130106
TE,Geoff Swaim (13041130),Geoff Swaim,13041130,TE/FLEX,2900,KC@JAX 09/08/2019 01:00PM ET,JAX,6.11074065768147
DST,Vikings  (13040577),Vikings ,13040577,DST,3300,ATL@MIN 09/08/2019 01:00PM ET,MIN,6.05530685714286
RB,T.J. Yeldon (13040985),T.J. Yeldon,13040985,RB/FLEX,3300,BUF@NYJ 09/08/2019 01:00PM ET,BUF,6.04123854607884
DST,Falcons  (13040566),Falcons ,13040566,DST,2400,ATL@MIN 09/08/2019 01:00PM ET,ATL,5.97105618759455
DST,Giants  (13040578),Giants ,13040578,DST,2300,NYG@DAL 09/08/2019 04:25PM ET,NYG,5.93553331316188
TE,Dallas Goedert (13041318),Dallas Goedert,13041318,TE/FLEX,2900,WAS@PHI 09/08/2019 01:00PM ET,PHI,5.92971563667587
DST,Colts  (13040573),Colts ,13040573,DST,2600,IND@LAC 09/08/2019 04:05PM ET,IND,5.92969314285714
TE,Vernon Davis (13040597),Vernon Davis,13040597,TE/FLEX,2700,WAS@PHI 09/08/2019 01:00PM ET,WAS,5.89271235080901
DST,Cardinals  (13040581),Cardinals ,13040581,DST,2700,DET@ARI 09/08/2019 04:25PM ET,ARI,5.86056357034796
DST,Bengals  (13040568),Bengals ,13040568,DST,2000,CIN@SEA 09/08/2019 04:05PM ET,CIN,5.83699718608169
WR,Travis Benjamin (13040709),Travis Benjamin,13040709,WR/FLEX,3300,IND@LAC 09/08/2019 04:05PM ET,LAC,5.6973784198084
WR,Deebo Samuel (13041475),Deebo Samuel,13041475,WR/FLEX,4000,SF@TB 09/08/2019 04:25PM ET,SF,5.66685532911112
WR,KeeSean Johnson (13041537),KeeSean Johnson,13041537,WR/FLEX,3000,DET@ARI 09/08/2019 04:25PM ET,ARI,5.64566003616637
WR,Robert Foster (13041286),Robert Foster,13041286,WR/FLEX,4100,BUF@NYJ 09/08/2019 01:00PM ET,BUF,5.63568896872798
DST,Titans  (13040572),Titans ,13040572,DST,2600,TEN@CLE 09/08/2019 01:00PM ET,TEN,5.6147
RB,Ty Montgomery (13040883),Ty Montgomery,13040883,RB/FLEX,3200,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,5.60495510771812
DST,Panthers  (13040587),Panthers ,13040587,DST,2100,LAR@CAR 09/08/2019 01:00PM ET,CAR,5.53013085714286
RB,Justice Hill (13041797),Justice Hill,13041797,RB/FLEX,3600,BAL@MIA 09/08/2019 01:00PM ET,BAL,5.52610599042522
DST,Jaguars  (13040588),Jaguars ,13040588,DST,2300,KC@JAX 09/08/2019 01:00PM ET,JAX,5.51048685714286
WR,Kendrick Bourne (13041301),Kendrick Bourne,13041301,WR/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,5.3543323817017
TE,Cameron Brate (13040800),Cameron Brate,13040800,TE/FLEX,2800,SF@TB 09/08/2019 04:25PM ET,TB,5.33792840776007
WR,Jarius Wright (13040713),Jarius Wright,13040713,WR/FLEX,3200,LAR@CAR 09/08/2019 01:00PM ET,CAR,5.27790812934668
RB,Carlos Hyde (13040787),Carlos Hyde,13040787,RB/FLEX,4100,KC@JAX 09/08/2019 01:00PM ET,KC,5.19660356189051
TE,Gerald Everett (13041539),Gerald Everett,13041539,TE/FLEX,2900,LAR@CAR 09/08/2019 01:00PM ET,LAR,5.17599265142053
WR,Josh Reynolds (13041365),Josh Reynolds,13041365,WR/FLEX,3300,LAR@CAR 09/08/2019 01:00PM ET,LAR,5.15494468297678
WR,A.J. Brown (13041817),A.J. Brown,13041817,WR/FLEX,3500,TEN@CLE 09/08/2019 01:00PM ET,TEN,5.14142927434011
RB,Dontrell Hilliard (13041346),Dontrell Hilliard,13041346,RB/FLEX,3000,TEN@CLE 09/08/2019 01:00PM ET,CLE,5.09175981220214
TE,C.J. Uzomah (13040873),C.J. Uzomah,13040873,TE/FLEX,2600,CIN@SEA 09/08/2019 04:05PM ET,CIN,5.05767036402855
TE,Mike Gesicki (13041499),Mike Gesicki,13041499,TE/FLEX,3000,BAL@MIA 09/08/2019 01:00PM ET,MIA,5.0547311887392
WR,Chad Beebe (13041240),Chad Beebe,13041240,WR/FLEX,3000,ATL@MIN 09/08/2019 01:00PM ET,MIN,4.99381416452416
WR,Michael Crabtree (13268492),Michael Crabtree,13268492,WR/FLEX,3400,DET@ARI 09/08/2019 04:25PM ET,ARI,4.95296956049261
WR,Jakeem Grant (13040919),Jakeem Grant,13040919,WR/FLEX,3000,BAL@MIA 09/08/2019 01:00PM ET,MIA,4.94554512755254
