Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jordan Wilkins (13041265),Jordan Wilkins,13041265,RB/FLEX,3000,IND@LAC 09/08/2019 04:05PM ET,IND,2.58963801655989
WR,Preston Williams (13041630),Preston Williams,13041630,WR/FLEX,3000,BAL@MIA 09/08/2019 01:00PM ET,MIA,2.55694155090939
WR,Dontrelle Inman (13268494),Dontrelle Inman,13268494,WR/FLEX,3200,IND@LAC 09/08/2019 04:05PM ET,LAC,2.52833144051073
RB,Duke Johnson (13041028),Duke Johnson,13041028,RB/FLEX,3500,TEN@CLE 09/08/2019 01:00PM ET,CLE,12.548724050936
RB,D'Ernest Johnson (13041546),D'Ernest Johnson,13041546,RB/FLEX,3000,TEN@CLE 09/08/2019 01:00PM ET,CLE,2.51497688989482
TE,Maxx Williams (13040987),Maxx Williams,13040987,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,ARI,2.48798324586617
TE,Mo Alie-Cox (13041121),Mo Alie-Cox,13041121,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,IND,2.38909357715842
TE,Anthony Firkser (13041307),Anthony Firkser,13041307,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,TEN,2.27665571420836
WR,Justin Hardy (13040829),Justin Hardy,13040829,WR/FLEX,3000,ATL@MIN 09/08/2019 01:00PM ET,ATL,2.25278294636803
WR,Deon Cain (13041606),Deon Cain,13041606,WR/FLEX,3000,IND@LAC 09/08/2019 04:05PM ET,IND,2.25269457659372
TE,Luke Stocker (13040635),Luke Stocker,13040635,TE/FLEX,2500,ATL@MIN 09/08/2019 01:00PM ET,ATL,2.19748749490281
TE,Nick Boyle (13040963),Nick Boyle,13040963,TE/FLEX,2500,BAL@MIA 09/08/2019 01:00PM ET,BAL,2.18909943850832
WR,Isaiah McKenzie (13041375),Isaiah McKenzie,13041375,WR/FLEX,3000,BUF@NYJ 09/08/2019 01:00PM ET,BUF,2.16428348142361
RB,Trenton Cannon (13041851),Trenton Cannon,13041851,RB/FLEX,3000,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,2.11668788865906
RB,C.J. Prosise (13041095),C.J. Prosise,13041095,RB/FLEX,3000,CIN@SEA 09/08/2019 04:05PM ET,SEA,2.06767706551417
WR,Justin Watson (13041437),Justin Watson,13041437,WR/FLEX,3200,SF@TB 09/08/2019 04:25PM ET,TB,2.05676790643785
RB,Jordan Scarlett (13041653),Jordan Scarlett,13041653,RB/FLEX,3400,LAR@CAR 09/08/2019 01:00PM ET,CAR,2.05183736502141
RB,Mark Walton (13041621),Mark Walton,13041621,RB/FLEX,3000,BAL@MIA 09/08/2019 01:00PM ET,MIA,2.04586683865409
RB,Raheem Mostert (13040933),Raheem Mostert,13040933,RB/FLEX,3700,SF@TB 09/08/2019 04:25PM ET,SF,2.03945413622569
RB,Devine Ozigbo (13268502),Devine Ozigbo,13268502,RB/FLEX,3000,KC@JAX 09/08/2019 01:00PM ET,JAX,2.02733327877541
WR,Robert Davis (13041208),Robert Davis,13041208,WR/FLEX,3000,WAS@PHI 09/08/2019 01:00PM ET,WAS,2.01338133986888
